,name,Recent Reviews,Recent Reviews Number,Overall Reviews,Overall Reviews Names
0,Counter-Strike,Overwhelmingly Positive,"1,190",Overwhelmingly Positive,"1,190"
1,Team Fortress Classic,Very Positive,69,Very Positive,69
2,Day of Defeat,Very Positive,23,Very Positive,23
3,Deathmatch Classic,Very Positive,11,Very Positive,11
4,Half-Life: Opposing Force,Very Positive,188,Very Positive,188
5,Ricochet,Very Positive,17,Very Positive,17
6,Half-Life,Overwhelmingly Positive,755,Overwhelmingly Positive,755
7,Counter-Strike: Condition Zero,Very Positive,142,Very Positive,142
8,Counter-Strike: Condition Zero,Very Positive,142,Very Positive,142
9,Half-Life: Blue Shift,Very Positive,117,Very Positive,117
10,Half-Life 2,Overwhelmingly Positive,"1,163",Overwhelmingly Positive,"1,163"
11,Counter-Strike: Source,Overwhelmingly Positive,973,Overwhelmingly Positive,973
12,Half-Life: Source,Mixed,106,Mixed,106
13,Day of Defeat: Source,Very Positive,88,Very Positive,88
14,Half-Life 2: Deathmatch,Very Positive,78,Very Positive,78
15,Half-Life 2: Lost Coast,Very Positive,69,Very Positive,69
16,Half-Life Deathmatch: Source,Mostly Positive,33,Mostly Positive,33
17,Half-Life 2: Episode One,Overwhelmingly Positive,200,Overwhelmingly Positive,200
18,Portal,Overwhelmingly Positive,"1,133",Overwhelmingly Positive,"1,133"
19,Portal,Overwhelmingly Positive,"1,133",Overwhelmingly Positive,"1,133"
20,Half-Life 2: Episode Two,Overwhelmingly Positive,261,Overwhelmingly Positive,261
21,Team Fortress 2,Very Positive,"11,497",Very Positive,"11,497"
22,Left 4 Dead,Overwhelmingly Positive,487,Overwhelmingly Positive,487
23,Left 4 Dead 2,Overwhelmingly Positive,"14,739",Overwhelmingly Positive,"14,739"
24,Dota 2,Mostly Positive,"14,888",Mostly Positive,"14,888"
25,Portal 2,Overwhelmingly Positive,"3,055",Overwhelmingly Positive,"3,055"
26,Alien Swarm,Very Positive,55,Very Positive,55
27,Counter-Strike: Global Offensive,Very Positive,"93,971",Very Positive,"93,971"
28,Left 4 Dead 2,Overwhelmingly Positive,"14,739",Overwhelmingly Positive,"14,739"
29,Red Orchestra: Ostfront 41-45,Very Positive,10,Very Positive,10
30,Mare Nostrum,Very Positive,156,Very Positive,156
31,Killing Floor,Very Positive,141,Very Positive,141
32,Darkest Hour: Europe '44-'45,Very Positive,19,Very Positive,19
33,SiN Episodes: Emergence,Very Positive,31,Very Positive,31
34,Darwinia,Mostly Positive,476,Mostly Positive,476
35,Uplink,Very Positive,12,Very Positive,12
36,DEFCON,Very Positive,34,Very Positive,34
37,Multiwinia,Very Positive,322,Very Positive,322
38,Multiwinia,Very Positive,322,Very Positive,322
39,Dangerous Waters,Mostly Positive,227,Mostly Positive,227
40,Space Empires IV Deluxe,Very Positive,158,Very Positive,158
41,Disciples II: Rise of the Elves ,Very Positive,19,Very Positive,19
42,Disciples II: Gallean's Return,Very Positive,14,Very Positive,14
43,Iron Warriors: T - 72 Tank Command ,Mixed,228,Mixed,228
